fecha,ciudad,temperatura,humedad,lluvia
2023-01-01 00:00:00,Concepcion,22.993428306022466,72.61735698828815,0.0
2023-01-01 01:00:00,Concepcion,21.07033498941876,77.18902184689384,13.949143236691953
2023-01-01 02:00:00,Concepcion,26.034869458305817,68.19121865976484,3.2293632587485415
2023-01-01 03:00:00,Concepcion,20.310435880545533,83.50369682396904,0.0
2023-01-01 04:00:00,Concepcion,24.304464778253344,77.14247332595274,0.0
2023-01-01 05:00:00,Concepcion,25.42294152803053,52.603793439237606,0.0
2023-01-01 06:00:00,Concepcion,27.13505640937585,59.75251813786544,0.0
2023-01-01 07:00:00,Concepcion,27.074067461890703,68.84564337907547,3.0158534421542926
2023-01-01 08:00:00,Concepcion,25.74673951933564,63.78447805324402,0.0
2023-01-01 09:00:00,Concepcion,25.212023133137695,82.22544912103189,0.0
2023-01-01 10:00:00,Concepcion,22.058312700057954,100.0,11.194092845963294
2023-01-01 11:00:00,Concepcion,23.73137185762033,82.8176103894861,0.0
2023-01-01 12:00:00,Concepcion,21.768703435223518,70.98896304410711,0.0
2023-01-01 13:00:00,Concepcion,22.25330560815476,68.6185833833704,0.0
2023-01-01 14:00:00,Concepcion,20.187236579136922,56.36959844637266,7.610396462343388
2023-01-01 15:00:00,Concepcion,20.23996301325398,65.60782476777362,0.0
2023-01-01 16:00:00,Concepcion,17.05144822937538,58.91846710452517,10.582581879361085
2023-01-01 17:00:00,Concepcion,19.529803557956058,65.01792060544322,0.0
2023-01-01 18:00:00,Concepcion,16.855979756839332,84.03532897892023,9.794202146594495
2023-01-01 19:00:00,Concepcion,18.76156179634654,73.64173960890048,0.0
2023-01-01 20:00:00,Concepcion,20.79916029270582,70.013616099848,4.767959434846597
2023-01-01 21:00:00,Concepcion,15.626965176884458,84.42491617339421,0.0
2023-01-01 22:00:00,Concepcion,19.060656224324976,77.57112571511746,0.0
2023-01-01 23:00:00,Concepcion,19.127388117091552,81.43711283771226,2.476895203515788
2023-01-02 00:00:00,Concepcion,20.996485912830927,79.01448331524806,0.0
2023-01-02 01:00:00,Concepcion,25.610468531376657,68.70239796232961,0.0
2023-01-02 02:00:00,Concepcion,25.52653486622671,87.71862133549777,0.0
