area_m2,num_habitaciones,antiguedad,distancia_centro_km,tipo,tiene_estacionamiento,uf_m2,precio_uf
94.14241945951983,2,30.26021996441397,0.5434353614528709,Alta,No,100,9060.018894545092
118.20851460259439,1,17.574147128255788,0.6707842734009835,Emergente,Si,60,7946.539560264601
118.23687391846941,4,14.817286442543214,2.86009996417871,Premium,Si,124,14587.0904737673
113.99137077400805,1,18.517984422922687,2.7275667878826284,Premium,Si,124,16557.7897480332
89.67151952207459,2,14.903941869683283,0.3221593907241356,Emergente,No,60,4542.633674586053
89.95721398377958,2,18.673878177300274,2.758035039680583,Media,No,80,6690.8722125767645
69.43136705169873,2,6.162213073310008,0.42645646845414087,Premium,Si,124,9042.832945139366
92.28221132316914,1,18.94086147101944,3.3329057918202287,Media,No,80,8302.159359493571
101.40949218309952,1,5.653261605013807,0.3556989538490765,Media,Si,80,8376.481473855001
116.83377696504441,1,19.946403297442835,15.524703554059855,Media,No,80,8767.96588204466
128.84251377149846,4,22.497000455132373,1.3930404267935375,Alta,No,100,13175.118841029253
111.84641123977175,3,0.0,7.414397625021068,Alta,Si,100,10731.955960058203
78.1053990876617,2,6.774693375608331,9.000274822258405,Media,Si,80,5983.730088529892
111.36213511451305,4,9.682889405809142,1.6282668693272953,Media,Si,80,8957.074414991119
101.84432415747966,3,4.915266420563203,14.497351044743288,Media,Si,80,8086.594935227084
73.5316241637627,1,24.172931371265403,0.6605339399753969,Media,Si,80,5447.8604363502045
84.9361100079652,1,17.65241889720243,2.0520999058368483,Alta,No,100,7824.654327584321
84.35014311065366,3,19.880570052869086,1.3318759830988403,Emergente,Si,60,6288.964925528382
68.87653480815308,1,28.499918959639512,10.090840868701477,Media,No,80,4100.631481429234
,1,,,Media,Si,80,6188.625670832999
88.99684970912614,1,23.706676279832887,12.10842656097443,Emergente,Si,60,4634.492913379578
93.47200276307832,2,15.349128950103005,8.783882376514452,Premium,No,124,35633.23559521594
114.05204634613852,1,18.002650904441236,2.666174941186008,Emergente,Si,60,5713.699395483261
70.5860648791859,3,5.34494422836039,0.6520083191750963,Emergente,Si,60,4614.910232786581
90.9160327164719,1,11.2902471406577,4.6233120236650285,Premium,No,124,10995.443509424604
30.0,1,5.282725783371143,3.694404985386771,Emergente,Si,60,1717.5981483970018
87.7919293415861,2,2.032412235872007,0.04340719997073168,Premium,Si,124,11149.377813715566
,4,,,Media,Si,80,9433.487583116652
87.20030536078146,3,22.813447299142346,7.011145461305736,Media,Si,80,7064.073200621825
72.53744214446158,3,14.86568942054026,17.538528321421175,Alta,Si,100,6377.147272580948
117.95440266227808,2,6.450149965975745,2.3603300384190518,Media,No,80,9267.469503143164
95.09727960912046,4,14.339455170313563,4.948175335195991,Media,Si,80,8994.135154818234
107.44567775805467,4,8.917190687602776,1.2996871095491331,Emergente,Si,60,7349.326880782712
30.0,2,7.909877727221215,1.5474272981798878,Media,Si,80,3711.233593443884
95.21637603813959,2,18.4266756108256,9.035629323356979,Alta,No,100,8936.2339244439
82.74389063719403,4,2.9281043144872925,0.8457855931001814,Media,Si,80,8059.510078892181
109.96406321809718,1,31.324619604303916,1.7675467736368953,Premium,Si,124,13635.55137223162
59.160323364661096,1,14.964473029825522,1.5116325575813758,Emergente,Si,60,4410.833750273275
100.12874601743188,3,23.456337121346905,0.6465902395241727,Emergente,No,60,5286.567725760498
75.73401632929678,4,8.28611276802365,12.547616824231138,Alta,No,100,7344.974872098788
