metros_cuadrados,habitaciones,edad,barrio,precio
71.65035747390894,5,18,centro,107775.0
94.12064192305692,5,7,sur,114052.0
118.31969405049942,1,29,centro,126872.0
37.164890085399975,2,17,sur,32465.0
94.38113780409738,5,23,centro,129039.0
89.34145231195637,2,29,sur,77716.0
95.33445063701122,1,13,sur,94340.0
97.64018890147935,2,7,centro,139829.0
96.17501318635897,4,20,sur,96309.0
61.05670305479503,1,24,norte,57064.0
77.41923131920068,5,21,sur,96273.0
67.3827912210794,1,28,centro,96613.0
51.2315432784738,3,39,sur,45902.0
93.0440989184909,2,10,norte,115552.0
99.69891210981919,2,33,sur,87989.0
57.111871926369275,2,38,centro,70017.0
87.7367289487187,1,0,sur,87171.0
88.53169790297002,3,27,centro,115468.0
122.12922553607282,4,37,centro,175337.0
76.04268939601042,3,20,norte,122331.0
75.03199406342243,1,39,centro,88363.0
114.27635786913325,5,8,sur,119289.0
74.5286752743385,2,39,centro,87254.0
106.94951920072185,4,25,centro,142313.0
86.86438686490743,5,9,centro,112221.0
62.086498225742716,3,28,sur,42412.0
122.36502618143584,3,35,sur,122212.0
74.27804413272023,4,11,sur,72241.0
84.86457632842203,5,21,norte,127400.0
67.62049464192849,5,28,norte,84521.0
112.75699955797005,5,33,centro,143283.0
78.83760780965093,3,16,centro,117207.0
43.261194496552704,4,28,centro,84884.0
64.42993609893882,5,38,centro,97041.0
96.66400459245659,1,14,sur,81203.0
79.11424471360978,2,1,centro,120579.0
91.08790261165117,1,10,sur,103035.0
71.83050207719285,4,11,norte,89480.0
70.71811308317592,3,7,sur,76605.0
88.36017889266694,2,3,norte,103195.0
91.49074237791012,3,30,centro,111253.0
45.066317692344,4,35,norte,51170.0
107.64578344757487,1,9,centro,125795.0
54.733784266990355,2,25,centro,94360.0
74.85276515130911,3,7,centro,109896.0
60.655378327554786,3,19,centro,97897.0
55.86661852550148,5,17,norte,86487.0
133.3722803860901,1,34,centro,162433.0
30.57720710410908,1,34,norte,37122.0
81.45232852391975,4,26,centro,123968.0
71.84773304709637,3,4,norte,101976.0
57.097983026152924,2,19,centro,75258.0
33.53141244294196,3,39,centro,44548.0
81.68846835453274,4,16,centro,134133.0
94.2174897104109,3,13,norte,93322.0
96.55762564296796,1,38,sur,91769.0
48.139467691026695,5,24,sur,36572.0
69.84020201436186,1,38,centro,93956.0
131.02288506394308,4,12,centro,162463.0
46.28070774975062,5,4,centro,92926.0
70.4314107345435,2,35,sur,63406.0
103.58981234479693,2,27,centro,111420.0
79.86054154353492,2,22,norte,75066.0
99.752878456449,2,20,sur,97871.0
84.41530559528275,5,6,norte,117860.0
78.76777257135714,4,33,centro,90082.0
59.23471567531308,2,35,centro,89636.0
74.02781708620039,4,4,sur,106134.0
87.48984779024659,1,14,norte,97676.0
96.96040121619205,1,28,norte,100343.0
58.09208489410885,3,26,norte,79792.0
71.74555387564831,3,7,norte,96479.0
55.43584670074701,5,14,norte,84112.0
98.48787165117471,5,1,sur,117742.0
84.6523253426294,1,34,centro,92098.0
67.10126247115399,5,33,norte,107236.0
86.63632799909509,1,21,sur,69751.0
111.59644245057402,2,1,norte,114826.0
110.11093286022856,1,32,sur,100957.0
89.22165115357356,1,31,norte,104649.0
30.0,3,3,sur,43484.0
83.56179679219126,1,3,norte,95892.0
79.2434372617655,2,13,centro,111204.0
96.62391529886881,1,17,sur,99796.0
69.56108674066286,5,30,norte,80234.0
55.17923783567388,1,2,norte,52375.0
84.67709172003534,5,1,centro,130607.0
58.34502286202526,2,37,norte,62104.0
84.87343365361728,5,28,norte,92000.0
93.37170148534207,3,2,sur,88567.0
105.93926986013129,4,17,sur,116906.0
99.81252534596487,4,35,norte,104836.0
117.81772811230312,5,14,centro,159581.0
73.64877745862405,1,30,norte,86302.0
76.61479591395124,1,22,centro,98643.0
33.78460501213759,1,39,norte,38564.0
68.8100092750067,4,30,centro,100599.0
83.94236499904525,3,15,sur,106049.0
114.22742095889777,3,24,sur,125448.0
85.07885440918004,3,8,norte,111055.0
117.62659491737816,3,1,centro,168129.0
61.79078393567811,5,26,sur,71777.0
47.821594142455474,3,3,sur,50972.0
90.59099642486379,1,24,centro,104757.0
71.20605059934232,2,16,norte,102417.0
77.77247746491446,3,20,sur,73784.0
123.96890398492346,3,18,norte,148876.0
68.48707003591619,5,5,centro,110755.0
85.72075637798608,1,23,sur,67653.0
102.0178507622665,2,18,sur,99608.0
62.3516500553679,3,36,centro,81498.0
56.30136703462749,3,34,norte,70789.0
84.79521191078219,3,26,sur,94145.0
65.78164785682246,4,35,centro,104056.0
114.88205746950536,4,37,norte,139362.0
93.53766493015891,2,21,centro,117850.0
102.96708410592413,2,38,norte,117313.0
102.17232261326282,3,32,centro,136398.0
83.65959228658183,1,24,norte,90843.0
73.15150367811096,5,1,sur,91525.0
81.85216482513486,2,9,sur,86241.0
83.45051138217954,5,24,sur,84262.0
65.5279098607316,1,29,centro,105972.0
84.64627151475679,1,16,norte,112631.0
62.85813740403961,4,29,norte,75446.0
105.1288047181062,3,2,centro,142320.0
67.96933743459836,3,19,sur,65929.0
95.92045129661668,4,33,norte,124023.0
77.48500009119945,1,26,centro,93433.0
73.44269180843774,1,39,sur,64425.0
81.9652037840245,1,8,sur,81124.0
85.3759657139066,5,16,norte,119057.0
59.63220407464814,3,5,centro,97518.0
89.96081168306014,4,39,sur,105267.0
89.46210020070637,2,21,sur,89586.0
71.40435826142135,3,15,sur,98488.0
87.27051775997211,4,28,centro,129780.0
92.08643308154163,4,36,norte,112471.0
57.3231497488555,2,19,centro,89541.0
63.516893401056045,2,22,sur,55228.0
52.11845644717532,4,28,centro,74162.0
66.9922203812643,5,23,centro,93941.0
68.99911255092142,3,34,centro,91971.0
75.5873125237973,1,30,centro,98444.0
68.51415051589774,1,33,norte,84673.0
64.24102670167774,4,0,centro,112001.0
80.62957262524739,3,30,norte,98418.0
62.36858783998856,3,31,norte,79433.0
81.46702038430308,4,35,sur,86289.0
79.38308983188162,5,27,centro,108915.0
93.48598850438876,5,28,centro,121420.0
48.19467854445891,5,24,sur,42271.0
85.41529952049737,3,9,norte,103721.0
79.35646828001597,1,2,centro,113688.0
82.89831802197158,5,11,centro,138304.0
103.56809985083464,1,14,norte,120972.0
78.3636233437837,4,33,norte,118248.0
64.90434300205618,2,24,centro,89191.0
30.0,4,9,sur,39264.0
69.97624943657398,5,20,norte,110786.0
95.40434123413269,1,27,centro,129698.0
67.37254163267178,3,1,centro,96974.0
63.51045052926463,1,13,sur,58087.0
75.03843878872522,3,16,sur,59213.0
78.28589874010468,2,13,centro,119206.0
91.91542661412241,1,28,norte,96890.0
90.98782108997875,5,28,sur,96192.0
108.91320692075362,2,7,sur,110308.0
81.43191729793152,2,14,sur,67910.0
74.09776313025698,5,8,sur,97022.0
83.8213709347705,4,0,norte,128746.0
72.19266637251404,1,30,norte,90144.0
89.02369835451601,2,10,sur,79536.0
65.62679777105568,4,3,norte,101383.0
87.22212149335294,4,5,centro,113478.0
74.7860410114226,4,9,sur,86020.0
81.06218756220925,2,20,centro,115820.0
109.01602667705573,3,29,centro,145542.0
76.38466792545404,2,9,norte,91818.0
93.79966037416557,1,9,norte,97322.0
86.57296130537762,5,23,norte,109830.0
80.31675981976909,1,37,centro,102865.0
44.88187237984201,1,34,sur,37357.0
65.27296013739681,4,8,centro,101561.0
93.73468760866008,5,29,centro,125682.0
45.54614755990743,3,24,norte,46580.0
68.97795219688156,5,18,sur,84352.0
80.73971686526114,2,18,sur,70746.0
68.61154595032082,4,32,centro,96351.0
91.68587913018891,4,37,norte,99369.0
72.69350413896197,1,7,centro,98941.0
76.58430104716228,5,29,sur,80710.0
127.76462595548877,1,25,centro,129630.0
84.35720823080462,1,1,norte,103446.0
66.95192955788434,5,10,norte,105717.0
95.45712507617466,5,9,centro,127948.0
99.68308395709174,1,27,sur,90890.0
82.97472895510793,3,8,sur,90072.0
86.63412623444731,5,2,norte,117331.0
88.10124907398932,3,4,sur,82801.0
